name,author,read
Harry Potter and the Philosopher's Stone,J.K. Rowling,0
Método Enigma,Rey Enigma,1
Fluent Python,Ramalho,0
Precalculus with Calculus Previews,Zill Dewar,0
End Game,David Baldacci,0
Calculus,James Stewart,0
Doing Math with Python,Amit Saha,1
Deep Learning for Coders with fastai and PyTorch,Howard & Gugger,0
The Great Gatsby,F. Scott Fitzgerald,0
To Kill a Mockingbird,Harper Lee,1
1984,George Orwell,0
Pride and Prejudice,Jane Austen,1
The Catcher in the Rye,J.D. Salinger,0
Moby-Dick,Herman Melville,1
War and Peace,Leo Tolstoy,0
The Hobbit,J.R.R. Tolkien,1
Crime and Punishment,Fyodor Dostoevsky,0
The Brothers Karamazov,Fyodor Dostoevsky,1
Jane Eyre,Charlotte Brontë,0
Wuthering Heights,Emily Brontë,1
Brave New World,Aldous Huxley,0
The Road,Cormac McCarthy,1
Madame Bovary,Gustave Flaubert,0
Les Misérables,Victor Hugo,1
Anna Karenina,Leo Tolstoy,0
The Divine Comedy,Dante Alighieri,1